c,h,energy,transient,seed_J,seed_x,n
1,-0.1,-0.6765413324594792,5.634,,48075.101,40.0
1,-0.08000000000000002,-0.6748047666485918,5.766,26073.0,51117.584,40.0
1,-0.060000000000000026,-0.6720345112453583,5.765,28466.0,49940.588,40.0
1,-0.040000000000000036,-0.6732640567649703,5.85,43554.0,48046.434,40.0
1,-0.020000000000000046,-0.6720920370639798,5.863,24464.0,50694.662,40.0
1,-5.551115123125783e-17,-0.670995175409001,5.965,46098.42857142857,50644.452,40.0
1,0.019999999999999934,-0.6638273219871187,5.907,53404.454545454544,50094.714,40.0
1,0.020833333333333332,-0.6640791639201545,5.971,68681.0,47936.115,40.0
1,0.041666666666666664,-0.6623820584530935,5.983,44123.21428571428,50937.191,40.0
1,0.0625,-0.6591764833824159,5.974,46424.47368421053,50529.545,40.0
1,0.08333333333333333,-0.6495393821793136,5.915,48356.73333333333,48776.863,40.0
1,0.10416666666666666,-0.6513704052076987,5.911,59288.76,50892.137,40.0
1,0.125,-0.6446378961765007,5.91,50224.543209876545,51394.336,40.0
1,0.14583333333333331,-0.6370875895013985,5.841,52832.44329896907,50386.833,40.0
1,0.16666666666666666,-0.6388079195526393,5.867,50013.83050847457,50073.576,40.0
1,0.1875,-0.63021819263335,5.813,46032.539877300616,51246.895,40.0
1,0.20833333333333331,-0.6274725806023447,5.834,50628.85643564357,51731.939,40.0
1,0.22916666666666666,-0.6225395338941256,5.714,50762.68592057762,50421.795,40.0
1,0.25,-0.6181556110550795,5.634,49343.891304347824,50293.253,40.0
1,0.2708333333333333,-0.6089103555130879,5.611,50308.77806122449,48991.201,40.0
1,0.29166666666666663,-0.606854319835386,5.553,51011.77582417583,48914.532,40.0
1,0.3125,-0.5956704996780718,5.436,48835.61714285714,50315.416,40.0
1,0.3333333333333333,-0.5928946210597456,5.386,48768.21694915254,50631.45,40.0
1,0.35416666666666663,-0.5845876628091178,5.296,49138.79782270607,50587.94,40.0
1,0.375,-0.585525089062121,5.203,50648.7917282127,50680.981,40.0
1,0.3958333333333333,-0.582377962304103,5.104,50237.68789808917,50380.041,40.0
1,0.41666666666666663,-0.5702790412718893,5.01,49697.21111111111,50462.285,40.0
1,0.4375,-0.5651214507321953,4.879,48192.90866510539,48784.162,40.0
1,0.4583333333333333,-0.5594535575017621,4.839,51267.78587443946,50295.631,40.0
1,0.47916666666666663,-0.5533489238697822,4.668,48447.59333333333,51073.43,40.0
1,0.5,-0.5479226143416746,4.528,49354.00976138829,49224.479,40.0
2,0.020833333333333332,-0.0269452996510143,5.93,47074.556756756756,50675.618,40.0
2,0.041666666666666664,-0.06903683867658317,5.977,51101.555555555555,47099.705,40.0
2,0.0625,-0.08877748401013243,5.968,48510.05706521739,49711.193,40.0
2,0.08333333333333333,-0.10692163520446415,5.982,50181.42204301075,51005.005,40.0
2,0.10416666666666666,-0.142183231049728,5.981,47818.54569892473,49495.451,40.0
2,0.125,-0.1533992481669948,5.96,48363.22,51189.975,40.0
2,0.14583333333333331,-0.19794485301999634,5.912,50866.90158730159,49349.839,40.0
2,0.16666666666666666,-0.20610803812916054,5.941,51017.125,51356.916,40.0
2,0.1875,-0.2288099991396117,5.951,51524.74,48761.426,40.0
2,0.20833333333333331,-0.23063106672396375,5.878,51702.64081632653,49620.725,40.0
2,0.22916666666666666,-0.25130859735766403,5.935,52070.30882352941,50118.656,40.0
2,0.25,-0.268151299424907,5.9,54573.15060240964,49066.189,40.0
2,0.2708333333333333,-0.2766138173214414,5.858,48296.21383647799,51221.255,40.0
2,0.29166666666666663,-0.2841191894089293,5.869,50326.89705882353,50348.155,40.0
2,0.3125,-0.2770745565822879,5.793,50059.65,49943.998,40.0
2,0.3333333333333333,-0.28175901110189705,5.804,47376.95294117647,50227.968,40.0
2,0.35416666666666663,-0.2894427174881651,5.662,44380.78947368421,50923.848,40.0
2,0.375,-0.29141169793675065,5.736,50381.954545454544,51016.052,40.0
2,0.3958333333333333,-0.3050438724988573,5.675,40674.11363636364,52318.15,40.0
2,0.41666666666666663,-0.3176193375198387,5.624,52714.066666666666,53056.371,40.0
2,0.4375,-0.3075579593921065,5.532,60297.0625,48841.191,40.0
2,0.4583333333333333,-0.2978667746132857,5.494,51689.666666666664,50397.034,40.0
2,0.47916666666666663,-0.3026685977950635,5.379,57795.416666666664,50294.742,40.0
2,0.5,-0.2990171916939604,5.353,45966.0,50587.049,40.0
