h,energy,energy_avg,transient,c,seed_J,seed_x,n,390_eng,150_eng,50_eng,20_eng,10_eng,6_eng,5_eng,4_eng,3_eng,2_eng,1_eng,0_eng
0.0,-0.0007299709199374819,-0.0007299709199374819,1.0,1.0,47484.05625,51262.05,4000.0,-0.0007299709199374819,-0.0007299709199374819,-0.0007299709199374819,-0.0007299709199374819,-0.0007299709199374819,-0.0007299709199374819,-0.0007299709199374819,-0.0007299709199374819,-0.0007299709199374819,-0.0007299709199374819,-0.0007299709199374819,-0.0007299709199374819
0.45454545454545453,-0.7148819276785173,-0.7148868058384547,397.75,2.0,50480.66875,49310.95,4000.0,-0.7145085272465597,-0.70987349390987,-0.6625957054865754,-0.4570199648335114,-0.30917166131132323,-0.2203908894740295,-0.19386610708438057,-0.16438946063982682,-0.13148067068047925,-0.09369380450660421,-0.05031305626195678,0.0009433859393082472
0.9090909090909091,-0.7026385043082273,-0.7014503117932399,499.7625,2.0,55999.04375,44651.16875,4000.0,-0.7013939497760464,-0.6947552235479019,-0.6801236149973113,-0.623653363427217,-0.47109418818947757,-0.34944270527780175,-0.31170129762556,-0.268773577553404,-0.22078630748225508,-0.16514654145538826,-0.09907703912340905,-0.0012899119471732523
1.3636363636363635,-0.6569892112991784,,500.0,,50238.8875,47550.1,4000.0,-0.6556739468833477,-0.6446673925821491,-0.6259662922922302,-0.58985112591986,-0.48717968644599774,-0.35937315944762555,-0.3170731763924185,-0.26833995933879606,-0.21465236083632283,-0.15389669731559164,-0.08177079791649758,0.00013895682125604006
1.8181818181818181,-0.5635123154653293,,500.0,,45333.48125,50560.975,4000.0,-0.5601478462012303,-0.5452193718338461,-0.5152955545469381,-0.46566486278899333,-0.37822980625426095,-0.28272395414899004,-0.24617675293208552,-0.20449512302110615,-0.1604825773278033,-0.10797399724617732,-0.04467545219622631,-0.001234448290647168
2.2727272727272725,-0.4025920773496619,,500.0,,53053.175,49336.7875,4000.0,-0.3975729858992843,-0.37251441660939977,-0.3311143840035719,-0.2723528951988968,-0.2074798688673165,-0.1576996873894108,-0.13903510558431387,-0.11646844359015866,-0.09359929155112558,-0.060426114249712545,-0.015688117385651595,-6.432286004655346e-05
2.727272727272727,-0.1946006014034937,,500.0,,47228.73125,46115.425,4000.0,-0.1906761979447609,-0.17020334192393713,-0.14150650973159823,-0.11084386517162341,-0.08360423716758345,-0.06353256477131881,-0.05830859731535219,-0.04608388936354845,-0.03978784450681523,-0.02391205269358434,-0.002802891281230693,0.0022697481965418508
3.1818181818181817,-0.05801019190053251,,500.0,,50190.3375,53731.69375,4000.0,-0.05812138795320655,-0.05012297696700174,-0.04148471867371123,-0.03229065101852222,-0.02603954007744721,-0.022088969223707882,-0.02024643595857126,-0.017741720913203887,-0.014528138157287176,-0.009347586156473204,-0.0022856423787409657,-0.00034247907847627
3.6363636363636362,-0.01905687130005497,-0.049472293314119176,467.69375,2.0,50828.875,50567.2,4000.0,-0.01837609447021641,-0.017495153932287944,-0.015576467175853943,-0.012738001347483605,-0.009159426042658663,-0.007001993297304704,-0.003557461566021601,-0.005037076017079168,-0.003076386210042177,-0.001270272929103794,0.00043987438513235985,-0.00011051790602020107
4.090909090909091,0.0006400584462044224,-0.0029775993165362387,232.0875,2.0,49724.05625,49423.6875,4000.0,0.00031711721739190407,0.0010479143255951024,0.0011363709402090001,0.001463064294222836,0.0008498873299440715,0.001445436628193674,0.001700108063394819,0.0027010915651163384,0.0019381393515900945,0.001038699346844337,0.0008040988431361163,0.00014517725797272285
4.545454545454545,-0.009246612286262428,-0.00927635881095773,158.3,2.0,50721.2,49363.5375,4000.0,-0.00855274990344556,-0.008821800016242148,-0.005445033929065782,-0.0021863627426147647,-0.0002769409443815386,0.0026696551067000506,0.0030558041163465566,0.0023579696773710474,0.003514409469526622,0.0021349104996292233,0.0018295270326559813,0.0008024311934753675
5.0,-0.003221202121811476,-0.0030601828189635713,143.275,2.0,50155.475,48399.46875,4000.0,-0.0031903527148760677,-0.0030072458999255585,-0.0030447783801406426,-0.003592720765104847,-0.004181826673112448,-0.002620241799823568,-0.0025263768052095166,-0.001978570246944947,-0.002865829430799033,-0.002129331668319141,-0.00015990200803709574,0.00030362459049156223
