p,c,keo,pdf_xh_zero_intercept,pdf_xh_zero_slope,pdf_h_zero_intercept,pdf_h_zero_slope,pdf_xh_values,pdf_y_values
0,1,0.0,0.5062344101729664,0.25581584745304475,0.253117206366505,0.1279079218409196,"[0.0, 0.02, 0.04, 0.06, 0.08, 0.1, 0.12, 0.14, 0.16, 0.18, 0.2, 0.22, 0.24, 0.26, 0.28, 0.3, 0.32, 0.34, 0.36, 0.38, 0.4, 0.42, 0.44, 0.46, 0.48, 0.5]","[0.5062344101729664, 0.5112782112732221, 0.5161657580317026, 0.5208916287996145, 0.525450546071731, 0.5298373862860112, 0.5340471894017974, 0.5380751682315802, 0.541916717501791, 0.5455674226186485, 0.5490230681157259, 0.55227964576063, 0.5553333622989834, 0.5581806468147751, 0.5608181576870968, 0.563242789124298, 0.5654516772576782, 0.5674422057779809, 0.5692120110991657, 0.5707589870351905, 0.5720812889768491, 0.5731773375570752, 0.5740458217945111, 0.574685701706588, 0.5750962103848233, 0.5752768555265416]"
1,1,0.0,0.2858424190723312,0.31125980720420054,0.14291973903146213,0.15733200551806825,"[0.0, 0.02, 0.04, 0.06, 0.08, 0.1, 0.12, 0.14, 0.16, 0.18, 0.2, 0.22, 0.24, 0.26, 0.28, 0.3, 0.32, 0.34, 0.36, 0.38, 0.4, 0.42, 0.44, 0.46, 0.48, 0.5]","[0.28584256982669487, 0.29211803556606636, 0.29839990369478303, 0.30467875576433173, 0.3109551538990821, 0.3172234940918442, 0.3234710581134032, 0.3296928752118753, 0.3358884410297065, 0.34204764835566415, 0.3481669573472981, 0.35423972284367855, 0.36026395181981663, 0.36621797564682745, 0.37211405671571446, 0.377932580151401, 0.38367726826237886, 0.389340934401599, 0.3949074933150527, 0.4003751045765401, 0.4057475330127661, 0.41100425511064653, 0.4161442582101302, 0.4211610288849336, 0.42605055177869927, 0.43081198429024736]"
2,1,0.0,0.19802030864008457,0.32698525035371184,0.09901074764383258,0.16018504198110628,"[0.0, 0.02, 0.04, 0.06, 0.08, 0.1, 0.12, 0.14, 0.16, 0.18, 0.2, 0.22, 0.24, 0.26, 0.28, 0.3, 0.32, 0.34, 0.36, 0.38, 0.4, 0.42, 0.44, 0.46, 0.48, 0.5]","[0.198011964118475, 0.2045106057234857, 0.21110048901179573, 0.21777159376670643, 0.22452970532358202, 0.23136513164996445, 0.23828059610747826, 0.24526213922171355, 0.25229915203702635, 0.25938941014621414, 0.2665396880058014, 0.2737245986336893, 0.2809339531950885, 0.28818935100817555, 0.2954653976883867, 0.3027356238058746, 0.3100147583744295, 0.3172909277719195, 0.32455935500865263, 0.33179281716324127, 0.3389906992292405, 0.3461531075621821, 0.3532689782661898, 0.36031780630954213, 0.36729302835888944, 0.3741816951730115]"
3,1,0.0,0.15246404642147282,0.32886838462650725,0.07623394574151235,0.16046448394135826,"[0.0, 0.02, 0.04, 0.06, 0.08, 0.1, 0.12, 0.14, 0.16, 0.18, 0.2, 0.22, 0.24, 0.26, 0.28, 0.3, 0.32, 0.34, 0.36, 0.38, 0.4, 0.42, 0.44, 0.46, 0.48, 0.5]","[0.15247051517088434, 0.15905417516237846, 0.16580765133727937, 0.17270280485968362, 0.17976327800762237, 0.1869517839624748, 0.194296580025145, 0.2017608202375198, 0.20935831827261595, 0.21708997841156075, 0.2249150032618929, 0.23286907880654809, 0.24089480320999404, 0.24902043401128252, 0.2572170916693083, 0.26547116567543527, 0.27379453062403064, 0.2821480277459291, 0.2905437533106059, 0.2989459254215602, 0.30734712198158026, 0.315764509131845, 0.324125583802924, 0.3324660407018079, 0.3407453108327446, 0.3489790471424908]"
4,1,0.0,0.12439309456760093,0.36797474341020153,0.062197563269154946,0.17637894544551835,"[0.0, 0.02, 0.04, 0.06, 0.08, 0.1, 0.12, 0.14, 0.16, 0.18, 0.2, 0.22, 0.24, 0.26, 0.28, 0.3, 0.32, 0.34, 0.36, 0.38, 0.4, 0.42, 0.44, 0.46, 0.48, 0.5]","[0.124389281771702, 0.13108207052278156, 0.13799390909507217, 0.14508475732581466, 0.15240715186223355, 0.1599112990770697, 0.1676804766457205, 0.17554243203533895, 0.18364287712459093, 0.19192072470644178, 0.20036946690416776, 0.20893701373943965, 0.21765520295158725, 0.22649523263257984, 0.23551778029947618, 0.2445562631559185, 0.2537243378514039, 0.2629940174458185, 0.2721660270902348, 0.28157119986991574, 0.2908942935495163, 0.3001867882420822, 0.30943208225332597, 0.31868180233426385, 0.32786784308563166, 0.3369659638390368]"
5,1,0.0,0.10517107928415526,0.32063763816601865,0.05258718708061214,0.15716647609871626,"[0.0, 0.02, 0.04, 0.06, 0.08, 0.1, 0.12, 0.14, 0.16, 0.18, 0.2, 0.22, 0.24, 0.26, 0.28, 0.3, 0.32, 0.34, 0.36, 0.38, 0.4, 0.42, 0.44, 0.46, 0.48, 0.5]","[0.10516446816224119, 0.11192247833596679, 0.11895022088277228, 0.1262303185952326, 0.1337825111717399, 0.14158595840460195, 0.14964277837100187, 0.15795622524290875, 0.16649517207072825, 0.17522086099955858, 0.18420555104899866, 0.19337114400942385, 0.2027254112990531, 0.21220721725513758, 0.22186777846650796, 0.23159794138518247, 0.24143578184528738, 0.25136819964860685, 0.2613535533695944, 0.27133550074736956, 0.2813301492768726, 0.291329950670187, 0.3012831422873075, 0.31114031793758984, 0.32094762595288984, 0.3306421953732506]"
6,1,0.0,0.09111151444042329,0.3224368844635256,0.04555269412628241,0.16267667698050686,"[0.0, 0.02, 0.04, 0.06, 0.08, 0.1, 0.12, 0.14, 0.16, 0.18, 0.2, 0.22, 0.24, 0.26, 0.28, 0.3, 0.32, 0.34, 0.36, 0.38, 0.4, 0.42, 0.44, 0.46, 0.48, 0.5]","[0.09109780378020146, 0.09791711740250233, 0.10505103482982228, 0.11250232483544649, 0.12028618095207351, 0.12836135506234603, 0.1367422880681354, 0.14542262633114783, 0.15436781694200544, 0.16358350606882888, 0.17305223400242956, 0.18272558524484112, 0.1926011141337382, 0.20265852054012912, 0.21285592079935747, 0.22317867047227943, 0.2336138846055061, 0.2440927300032861, 0.25462040166469396, 0.2651361214386239, 0.27566587041699425, 0.28611356180833947, 0.29648373826967694, 0.3067746710146385, 0.31697565377155185, 0.3269703616122252]"
7,1,0.0,0.08068679323250409,0.32661133531634856,0.04033913008741548,0.16878400157861045,"[0.0, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5]","[0.08068619191296818, 0.09845190632953564, 0.1185027778472796, 0.14072904912586942, 0.16484278374008687, 0.19046173205455022, 0.2171343848759922, 0.2443098408368841, 0.2714602179785642, 0.29811667361493216, 0.3238336699302846]"
8,1,0.0,0.07235066008623266,0.33689307309194005,0.03617753843780407,0.16627126084618749,"[0.0, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5]","[0.07235055937885124, 0.09037868339851783, 0.11101174428270012, 0.13407983829607248, 0.15922834517087095, 0.1859595542117188, 0.21361571217504172, 0.24164282408801874, 0.2693876512280431, 0.29637370400312046, 0.3222637585685857]"
9,1,0.0,0.0655605489806684,0.3349888874556728,0.03278295982428254,0.16730592284947,"[0.0, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5]","[0.06556174557482987, 0.0838282657512542, 0.10503013231928907, 0.128915826938607, 0.1550273274157308, 0.18270441995625877, 0.21120323173203334, 0.23982496441780995, 0.2679216266816538, 0.2950237732007907, 0.3208616926736573]"
10,1,0.0,0.05995775956979702,0.3374354050788078,0.0299800619164063,0.16649894098545726,"[0.0, 0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.4, 0.45, 0.5]","[0.05995618641060628, 0.07844697585273674, 0.10016164942092058, 0.1247741096121953, 0.1517316800709418, 0.1801871345588841, 0.20929191507314462, 0.2382557509869333, 0.26647439265483824, 0.2935394421198847, 0.3192529007728829]"
