keo,Qendend
0.0,0.00029
0.075,0.442356
0.1,0.669486
0.1125,0.99949
0.125,0.999674
0.1375,0.999776
0.15,0.999676
0.16,0.999912
0.17,0.999596
0.1875,0.999788
0.2,0.9999
0.2125,0.999886
0.225,0.999926
0.2375,0.999924
0.25,0.999774
0.2625,0.999688
0.275,0.999746
0.2875,0.999794
0.3,0.999746
0.3125,0.99986
0.325,0.999788
0.3375,0.999838
0.35,0.999798
0.3625,0.999796
0.375,0.999894
0.3875,0.999804
0.4,0.999814
0.4125,0.999882
0.425,0.99984
0.4375,0.999854
0.45,0.999888
0.4625,0.99987
0.475,0.99983
0.5,0.999884
0.55,0.99985
0.6,0.999912
0.65,0.999968
0.7,0.999954
0.75,0.999976
0.8,0.99997
0.85,0.999966
0.9,0.99998
0.95,0.999982
1.0,0.999976
1.05,0.99995
1.1,0.999946
1.15,0.999948
1.2,0.999986
1.25,0.99997
1.3,0.999974
1.35,0.99998
1.4,0.999996
1.45,0.999988
1.5,0.999974
1.55,0.99999
1.6,0.999976
1.65,0.99997
1.7,0.999972
1.75,0.999982
1.8,0.999986
1.85,0.999996
1.9,0.999992
1.95,0.999996
2.0,0.999992
